Recording date:	2017/10/06
Recording time:	14:45:27
Recording resolution	1366 x 768

pygaze initiation report start
display resolution: 1366x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.7999535193 ms
accuracy (in pixels): LX=681.937, LY=383.2378, RX=681.9432, RY=383.2292
precision (RMS noise in pixels): X=18.3030052177, Y=26.7581763205
distance between participant and display: 57.0 cm
fixation threshold: 51.3107898708 pixels
speed threshold: 1.19697837223 pixels/ms
accuracy threshold: 327.904497397 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
2870.6	335.8396	362.6993	0	337.0671	352.8961	0	0.2463	0.4659	
2887.3	333.8907	367.8822	0	353.8518	354.3740	0	0.2517	0.4702	
2904.0	330.4405	371.9772	0	350.4477	320.9959	0	0.2492	0.4512	
2920.6	328.6537	392.5478	0	363.1798	364.7683	0	0.2532	0.4930	
2937.3	351.7118	395.6133	0	345.9996	367.0683	0	0.2554	0.4965	
2954.0	333.6520	397.5675	0	344.1044	339.9671	0	0.2481	0.4802	
2970.7	338.0185	370.2794	0	345.2453	344.1245	0	0.2501	0.4651	
2987.4	334.5973	385.2205	0	343.7779	358.0493	0	0.2483	0.4839	
3004.0	341.5446	386.3342	0	334.2698	359.5255	0	0.2474	0.4856	
3020.7	345.6163	369.1858	0	350.0510	329.0030	0	0.2546	0.4546	
3037.4	350.5701	397.1080	0	351.9514	333.9049	0	0.2571	0.4759	
3054.0	338.2771	378.0994	0	339.6103	346.5545	0	0.2481	0.4718	
3070.7	350.6317	392.8118	0	348.4848	355.0741	0	0.2559	0.4869	
3087.4	336.9478	375.1704	0	348.5644	356.5698	0	0.2509	0.4764	
3104.1	348.3273	383.8201	0	346.3625	346.3163	0	0.2543	0.4753	
3120.7	343.0202	398.4303	0	343.5695	346.9951	0	0.2513	0.4853	
3137.4	326.3768	379.2194	0	335.9656	356.6112	0	0.2424	0.4791	
3154.1	333.6725	393.3369	0	352.2694	342.3524	0	0.2511	0.4790	
3170.7	346.0071	384.4569	0	353.2712	367.8357	0	0.2560	0.4898	
3187.4	337.5914	388.0797	0	333.7213	361.5060	0	0.2457	0.4880	
3204.1	320.6623	377.5148	0	337.3953	331.0225	0	0.2409	0.4613	
3220.7	332.2762	389.2957	0	346.0771	359.7416	0	0.2483	0.4877	
3237.4	348.9960	390.3583	0	345.7911	327.1560	0	0.2543	0.4671	
3254.1	348.3384	392.5542	0	348.0852	324.4540	0	0.2549	0.4668	
3270.7	344.0493	393.4605	0	335.6139	342.3110	0	0.2488	0.4790	
3287.4	342.9005	393.9920	0	349.2165	358.8504	0	0.2533	0.4901	
